分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
32,1,32,4,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,4,4,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,32,1,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,4,1,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,8,1,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,4,2,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,8,2,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,8,4,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,16,1,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,16,2,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,32,2,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
32,1,16,4,BTFN+SharedJal,276831713,228480390,48351323,82.53,244368073,198130086,81.08,32463640,30350304,93.49
16,4,8,4,BTFN+SplitJal,276831713,228479507,48352206,82.53,244368073,197041934,80.63,32463640,31437573,96.84
16,4,8,2,BTFN+SplitJal,276831713,228479322,48352391,82.53,244368073,197041934,80.63,32463640,31437388,96.84
16,4,8,1,BTFN+SplitJal,276831713,228479278,48352435,82.53,244368073,197041934,80.63,32463640,31437344,96.84
16,2,8,4,BTFN+SplitJal,276831713,228479003,48352710,82.53,244368073,197041430,80.63,32463640,31437573,96.84
16,2,8,2,BTFN+SplitJal,276831713,228478818,48352895,82.53,244368073,197041430,80.63,32463640,31437388,96.84
16,2,8,1,BTFN+SplitJal,276831713,228478774,48352939,82.53,244368073,197041430,80.63,32463640,31437344,96.84
16,1,8,4,BTFN+SplitJal,276831713,228451141,48380572,82.52,244368073,197013568,80.62,32463640,31437573,96.84
16,1,8,2,BTFN+SplitJal,276831713,228450956,48380757,82.52,244368073,197013568,80.62,32463640,31437388,96.84
16,1,8,1,BTFN+SplitJal,276831713,228450912,48380801,82.52,244368073,197013568,80.62,32463640,31437344,96.84
16,4,4,4,BTFN+SplitJal,276831713,227453633,49378080,82.16,244368073,197041934,80.63,32463640,30411699,93.68
16,4,4,1,BTFN+SplitJal,276831713,227453592,49378121,82.16,244368073,197041934,80.63,32463640,30411658,93.68
16,4,4,2,BTFN+SplitJal,276831713,227453592,49378121,82.16,244368073,197041934,80.63,32463640,30411658,93.68
16,2,4,4,BTFN+SplitJal,276831713,227453129,49378584,82.16,244368073,197041430,80.63,32463640,30411699,93.68
16,2,4,2,BTFN+SplitJal,276831713,227453088,49378625,82.16,244368073,197041430,80.63,32463640,30411658,93.68
16,2,4,1,BTFN+SplitJal,276831713,227453088,49378625,82.16,244368073,197041430,80.63,32463640,30411658,93.68
16,1,4,4,BTFN+SplitJal,276831713,227425267,49406446,82.15,244368073,197013568,80.62,32463640,30411699,93.68
16,1,4,2,BTFN+SplitJal,276831713,227425226,49406487,82.15,244368073,197013568,80.62,32463640,30411658,93.68
16,1,4,1,BTFN+SplitJal,276831713,227425226,49406487,82.15,244368073,197013568,80.62,32463640,30411658,93.68
16,4,4,2,BTFN+SharedJal,276831713,226922595,49909118,81.97,244368073,197214882,80.70,32463640,29707713,91.51
